index,barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,feScore,fuelCost08,fuelCostA08,fuelType,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,charge240b,createdOn,modifiedOn,phevCity,phevHwy,phevComb
29935,0.228,0.0,0.0,12.0,88,87.8784,0,0.0,0.0,38.0,0.0,0,-1,0.0,0.0,89,88.8876,0,0.0,38.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,71,10,750,0,Electricity,10,-1,90,90.1072,0,0.0,0.0,37.0,0.0,26,94,37235,0,0,Tesla,Model S (90 kW-hr battery pack),N,False,0,0,265,262.7,0.0,266.8,0.0,Automatic (A1),110.4,0.0,113.2,0.0,Large Cars,2016,3000,4.75,Thu Jan 21 00:00:00 EST 2016,Wed Mar 02 00:00:00 EST 2016,0,0,0
29936,0.228,0.0,0.0,12.0,88,87.8784,0,0.0,0.0,38.0,0.0,0,-1,0.0,0.0,89,88.8876,0,0.0,38.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,71,10,750,0,Electricity,10,-1,90,90.1072,0,0.0,0.0,37.0,0.0,26,94,37236,0,0,Tesla,Model S (90 kW-hr battery pack),N,False,0,0,265,262.7,0.0,266.8,0.0,Automatic (A1),110.4,0.0,113.2,0.0,Large Cars,2015,3000,4.75,Thu Jan 21 00:00:00 EST 2016,Thu Jan 21 00:00:00 EST 2016,0,0,0
29938,0.198,0.0,0.0,12.0,101,100.8098,0,0.0,0.0,33.0,0.0,0,-1,0.0,0.0,101,101.2486,0,0.0,33.0,0.0,0.0,0.0,0.0,All-Wheel Drive,6,10,650,0,Electricity,10,-1,102,101.79,0,0.0,0.0,33.0,0.0,26,94,37238,0,0,Tesla,Model S AWD - 70D,N,False,0,0,240,242.8,0.0,246.4,0.0,Automatic (A1),133.7,0.0,135.0,0.0,Large Cars,2016,3500,4.75,Thu Jan 28 00:00:00 EST 2016,Wed Mar 02 00:00:00 EST 2016,0,0,0
29939,0.204,0.0,0.0,12.0,95,95.3056,0,0.0,0.0,35.0,0.0,0,-1,0.0,0.0,100,99.8433,0,0.0,34.0,0.0,0.0,0.0,0.0,All-Wheel Drive,5,10,650,0,Electricity,10,-1,106,106.0124,0,0.0,0.0,32.0,0.0,26,94,37239,0,0,Tesla,Model S AWD - 85D,N,False,0,0,270,257.1,0.0,285.3,0.0,Automatic (A1),126.4,0.0,140.6,0.0,Large Cars,2016,3500,4.75,Thu Jan 28 00:00:00 EST 2016,Wed Mar 02 00:00:00 EST 2016,0,0,0
29941,0.198,0.0,0.0,12.0,101,100.8065,0,0.0,0.0,33.0,0.0,0,-1,0.0,0.0,103,103.3087,0,0.0,33.0,0.0,0.0,0.0,0.0,All-Wheel Drive,7,10,650,0,Electricity,10,-1,107,106.541,0,0.0,0.0,32.0,0.0,26,94,37240,0,0,Tesla,Model S AWD - 90D,N,False,0,0,294,285.7,0.0,303.2,0.0,Automatic (A1),133.6,0.0,141.2,0.0,Large Cars,2016,3500,4.75,Thu Jan 28 00:00:00 EST 2016,Wed Apr 20 00:00:00 EDT 2016,0,0,0
29942,0.216,0.0,0.0,12.0,89,89.3714,0,0.0,0.0,38.0,0.0,0,-1,0.0,0.0,93,92.9112,0,0.0,36.0,0.0,0.0,0.0,0.0,All-Wheel Drive,4,10,700,0,Electricity,10,-1,98,97.6374,0,0.0,0.0,35.0,0.0,26,94,37241,0,0,Tesla,Model S AWD - P85D,N,False,0,0,253,242.3,0.0,265.5,0.0,Automatic (A1),121.1,0.0,132.3,0.0,Large Cars,2016,3250,4.75,Thu Jan 28 00:00:00 EST 2016,Wed Mar 02 00:00:00 EST 2016,0,0,0
29943,0.21,0.0,0.0,12.0,91,91.3191,0,0.0,0.0,37.0,0.0,0,-1,0.0,0.0,95,94.9536,0,0.0,35.0,0.0,0.0,0.0,0.0,All-Wheel Drive,8,10,700,0,Electricity,10,-1,100,99.8087,0,0.0,0.0,34.0,0.0,26,94,37242,0,0,Tesla,Model S AWD - P90D,N,False,0,0,270,259.6,0.0,283.4,0.0,Automatic (A1),123.7,0.0,135.2,0.0,Large Cars,2016,3250,4.75,Thu Jan 28 00:00:00 EST 2016,Tue Apr 26 00:00:00 EDT 2016,0,0,0
29999,0.18,0.0,0.0,7.0,121,120.7756,0,0.0,0.0,28.0,0.0,0,-1,0.0,0.0,112,111.6914,0,0.0,30.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,141,10,600,0,Electricity,10,-1,102,102.288,0,0.0,0.0,33.0,0.0,13,85,37293,0,0,Mitsubishi,i-MiEV,N,False,0,0,59,63.9,0.0,54.0,0.0,Automatic (A1),172.5366,0.0,146.1258,0.0,Subcompact Cars,2017,3750,0.0,Wed Mar 02 00:00:00 EST 2016,Wed Apr 20 00:00:00 EDT 2016,0,0,0
30141,0.204,0.0,0.0,12.0,97,97.4898,0,0.0,0.0,35.0,0.0,0,-1,0.0,0.0,98,98.409,0,0.0,34.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,31,10,650,0,Electricity,10,-1,100,99.5562,0,0.0,0.0,34.0,0.0,26,94,37421,0,0,Tesla,Model S (75 kW-hr battery pack),N,False,0,0,249,246.1,0.0,252.7,0.0,Automatic (A1),132.1,0.0,134.9,0.0,Large Cars,2016,3500,4.75,Wed May 04 00:00:00 EDT 2016,Wed May 04 00:00:00 EDT 2016,0,0,0
30142,0.198,0.0,0.0,12.0,102,101.7702,0,0.0,0.0,33.0,0.0,0,-1,0.0,0.0,103,103.3343,0,0.0,33.0,0.0,0.0,0.0,0.0,All-Wheel Drive,61,10,650,0,Electricity,10,-1,105,105.3126,0,0.0,0.0,32.0,0.0,26,94,37422,0,0,Tesla,Model S AWD - 75D,N,False,0,0,259,255.0,0.0,264.6,0.0,Automatic (A1),137.9,0.0,142.7,0.0,Large Cars,2016,3500,4.75,Wed May 04 00:00:00 EDT 2016,Wed May 04 00:00:00 EDT 2016,0,0,0
30143,0.216,0.0,0.0,12.0,91,91.1628,0,0.0,0.0,37.0,0.0,0,-1,0.0,0.0,93,93.0305,0,0.0,36.0,0.0,0.0,0.0,0.0,All-Wheel Drive,11,10,700,0,Electricity,10,-1,95,95.42,0,0.0,0.0,35.0,0.0,26,94,37423,0,0,Tesla,Model X AWD - 75D,N,False,0,0,238,233.7,0.0,242.2,0.0,Automatic (A1),124.2,0.0,130.0,0.0,Standard Sport Utility Vehicle 4WD,2016,3250,4.75,Wed May 04 00:00:00 EDT 2016,Wed May 04 00:00:00 EDT 2016,0,0,0
30557,0.18,0.0,0.0,4.0,121,121.03,0,0.0,0.0,27.8485,0.0,0,-1,0.0,0.0,112,112.4374,0,0.0,29.9767,0.0,0.0,0.0,0.0,Front-Wheel Drive,18,10,600,0,Electricity,10,-1,103,103.46,0,0.0,0.0,32.5778,0.0,7,72,37798,0,0,Fiat,500e,N,False,0,0,84,90.02,0.0,76.65,0.0,Automatic (A1),172.9,0.0,147.8,0.0,Minicompact Cars,2017,3750,0.0,Wed Jul 20 00:00:00 EDT 2016,Fri Sep 09 00:00:00 EDT 2016,0,0,0
30561,0.282,0.0,0.0,5.0,73,73.15,0,0.0,0.0,46.0,0.0,0,-1,0.0,0.0,72,72.2873,0,0.0,47.0,0.0,0.0,0.0,0.0,Front-Wheel Drive,1,10,900,0,Electricity,10,-1,71,71.26,0,0.0,0.0,47.0,0.0,16,88,37800,0,0,BYD,e6,N,False,0,0,187,188.7,0.0,184.3,0.0,Automatic (A1),104.5,0.0,101.8,0.0,Small Sport Utility Vehicle 2WD,2016,2250,0.0,Wed Jul 20 00:00:00 EDT 2016,Wed Jul 20 00:00:00 EDT 2016,0,0,0
30784,0.162,0.0,0.0,4.0,137,137.48,0,0.0,0.0,25.0,0.0,0,-1,0.0,0.0,124,124.3601,0,0.0,27.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,100,10,550,0,Electricity,10,-1,111,111.37,0,0.0,0.0,30.0,0.0,0,0,38000,0,15,BMW,I3 BEV (60  Amp-hour battery),N,False,0,84,81,89.0,0.0,71.6,0.0,Automatic (A1),196.4,0.0,159.1,0.0,Subcompact Cars,2017,4000,0.0,Wed Aug 10 00:00:00 EDT 2016,Wed Aug 10 00:00:00 EDT 2016,0,0,0
30785,0.174,0.0,0.0,5.0,129,129.08,0,0.0,0.0,26.0,0.0,0,-1,0.0,0.0,118,117.7049,0,0.0,29.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,102,10,550,0,Electricity,10,-1,106,106.26,0,0.0,0.0,32.0,0.0,0,0,38001,0,15,BMW,I3 BEV (94 Amp-hour battery),N,False,0,84,114,123.8,0.0,101.9,0.0,Automatic (A1),184.4,0.0,151.8,0.0,Subcompact Cars,2017,4000,0.0,Wed Aug 10 00:00:00 EDT 2016,Wed Aug 10 00:00:00 EDT 2016,0,0,0
30786,0.24,0.0,0.0,3.5,85,85.4,0,0.0,0.0,39.4672,0.0,0,-1,0.0,0.0,84,83.7887,0,0.0,40.2262,0.0,0.0,0.0,0.0,Front-Wheel Drive,504,10,800,0,Electricity,10,-1,82,81.9,0,0.0,0.0,41.1538,0.0,0,0,38002,0,22,Mercedes-Benz,B250e,N,False,0,90,87,89.0,0.0,85.0,0.0,Automatic (A1),122.0,0.0,117.0,0.0,Midsize Cars,2017,2750,0.0,Wed Aug 10 00:00:00 EDT 2016,Wed Aug 10 00:00:00 EDT 2016,0,0,0
30969,0.192,0.0,0.0,4.0,120,119.6,0,0.0,0.0,28.1744,0.0,0,-1,0.0,0.0,105,105.3754,0,0.0,31.9856,0.0,0.0,0.0,0.0,Front-Wheel Drive,37,10,600,0,Electricity,10,-1,92,92.0,0,0.0,0.0,36.6438,0.0,0,0,38168,0,19,Kia,Soul Electric,N,False,0,97,93,148.0,0.0,113.8,0.0,Automatic (A1),170.9,0.0,131.4,0.0,Small Station Wagons,2017,3750,0.0,Tue Sep 13 00:00:00 EDT 2016,Tue Sep 13 00:00:00 EDT 2016,0,0,0
30972,0.204,0.0,0.0,10.0,98,97.5636,0,0.0,0.0,35.0,0.0,0,-1,0.0,0.0,99,99.0945,0,0.0,34.0,0.0,0.0,0.0,0.0,Rear-Wheel Drive,2,10,650,0,Electricity,10,-1,101,101.0322,0,0.0,0.0,33.0,0.0,26,94,38170,0,0,Tesla,Model S (60 kW-hr battery pack),N,False,0,0,210,207.5,0.0,214.8,0.0,Automatic (A1),132.2,0.0,136.9,0.0,Large Cars,2016,3500,3.75,Tue Sep 13 00:00:00 EDT 2016,Tue Sep 13 00:00:00 EDT 2016,0,0,0
30973,0.192,0.0,0.0,12.0,101,101.475,0,0.0,0.0,33.0,0.0,0,-1,0.0,0.0,104,103.7678,0,0.0,32.0,0.0,0.0,0.0,0.0,All-Wheel Drive,21,10,600,0,Electricity,10,-1,107,106.7148,0,0.0,0.0,32.0,0.0,26,94,38171,0,0,Tesla,Model S AWD - 60D,N,False,0,0,218,221.1,0.0,226.9,0.0,Automatic (A1),137.5,0.0,144.6,0.0,Large Cars,2016,3750,3.75,Tue Sep 13 00:00:00 EDT 2016,Tue Sep 13 00:00:00 EDT 2016,0,0,0
30974,0.21,0.0,0.0,12.0,92,92.4713,0,0.0,0.0,36.0,0.0,0,-1,0.0,0.0,98,97.5232,0,0.0,35.0,0.0,0.0,0.0,0.0,All-Wheel Drive,15,10,700,0,Electricity,10,-1,105,104.5008,0,0.0,0.0,32.0,0.0,26,94,38172,0,0,Tesla,Model S AWD - P100D,N,False,0,0,315,305.9,0.0,346.9,0.0,Automatic (A1),125.3,0.0,141.6,0.0,Large Cars,2016,3250,4.75,Tue Sep 13 00:00:00 EDT 2016,Tue Sep 13 00:00:00 EDT 2016,0,0,0
30975,0.216,0.0,0.0,12.0,91,91.2362,0,0.0,0.0,37.0,0.0,0,-1,0.0,0.0,93,92.5663,0,0.0,36.0,0.0,0.0,0.0,0.0,All-Wheel Drive,12,10,700,0,Electricity,10,-1,94,94.2456,0,0.0,0.0,36.0,0.0,26,94,38173,0,0,Tesla,Model X AWD - 60D,N,False,0,0,200,196.5,0.0,203.2,0.0,Automatic (A1),124.3,0.0,128.4,0.0,Standard Sport Utility Vehicle 4WD,2016,3250,4.75,Tue Sep 13 00:00:00 EDT 2016,Tue Sep 13 00:00:00 EDT 2016,0,0,0
